년월,전입시도명,전출시도명,총인구수,남성인구수,여성인구수,0대 남성,10대 남성,20대 남성,30대 남성,40대 남성,50대 남성,60대 남성,70대 남성,80대 남성,90대 남성,100대 남성,0대 여성,10대 여성,20대 여성,30대 여성,40대 여성,50대 여성,60대 여성,70대 여성,80대 여성,90대 여성,100대 여성
202301,서울특별시,서울특별시,54618,26347,28271,1717,1968,6343,6666,3786,2918,1917,746,256,30,0,1673,1898,8373,6465,3818,2695,1911,896,442,99,1
202301,서울특별시,부산광역시,1675,823,852,18,45,430,152,71,67,28,8,4,0,0,21,66,458,126,71,53,30,16,11,0,0
202301,서울특별시,대구광역시,1260,592,668,16,37,329,96,49,32,18,11,3,1,0,10,57,404,87,44,31,25,7,3,0,0
202301,서울특별시,인천광역시,2597,1299,1298,49,64,507,324,146,110,70,22,4,3,0,66,95,532,267,139,88,57,31,21,2,0
202301,서울특별시,광주광역시,904,446,458,17,29,256,66,33,28,12,5,0,0,0,15,49,257,50,28,22,20,7,7,3,0
202301,서울특별시,대전광역시,1322,681,641,17,49,349,125,68,36,30,3,3,1,0,24,54,352,100,41,38,19,4,8,1,0
202301,서울특별시,울산광역시,563,282,281,9,19,158,57,19,14,6,0,0,0,0,11,20,180,35,16,12,3,2,2,0,0
202301,서울특별시,세종특별자치시,503,266,237,14,12,115,59,37,23,5,0,1,0,0,15,21,96,45,30,17,7,4,1,1,0
202301,서울특별시,경기도,17703,8972,8731,525,720,2755,2075,1265,806,533,204,79,10,0,467,699,3022,1764,1078,719,542,241,157,41,1
202301,서울특별시,강원도,1698,881,817,27,66,421,129,77,75,60,16,10,0,0,34,72,363,113,77,66,53,22,14,3,0
202301,서울특별시,충청북도,1128,582,546,21,46,277,98,49,46,31,12,1,1,0,16,59,280,67,49,22,30,14,6,3,0
202301,서울특별시,충청남도,1696,833,863,24,56,387,131,86,77,47,14,10,1,0,31,89,437,98,72,59,46,14,13,4,0
202301,서울특별시,전라북도,1107,511,596,22,25,245,80,45,50,28,12,1,3,0,11,53,320,74,50,41,20,11,9,7,0
202301,서울특별시,전라남도,995,483,512,15,33,229,66,46,39,36,15,3,1,0,14,54,254,50,36,39,24,16,20,4,1
202301,서울특별시,경상북도,1343,657,686,16,50,355,107,41,45,34,6,3,0,0,16,62,384,74,47,41,40,14,7,1,0
202301,서울특별시,경상남도,1506,758,748,25,54,431,100,56,48,36,5,3,0,0,24,60,427,95,49,44,32,6,10,1,0
202301,서울특별시,제주특별자치도,844,383,461,35,42,111,55,65,46,20,6,2,1,0,36,50,157,70,69,48,19,9,2,1,0
202301,부산광역시,서울특별시,1162,564,598,26,34,229,122,66,48,26,9,3,1,0,24,38,252,122,65,51,33,8,4,1,0
202301,부산광역시,부산광역시,21364,10479,10885,851,788,2149,2204,1604,1278,1036,414,139,16,0,831,722,2586,2143,1501,1267,1015,454,291,73,2
202301,부산광역시,대구광역시,466,235,231,11,16,117,35,22,22,7,3,2,0,0,10,18,122,38,19,12,8,2,2,0,0
202301,부산광역시,인천광역시,170,91,79,7,6,29,19,9,10,6,5,0,0,0,5,6,22,20,6,6,6,7,1,0,0
202301,부산광역시,광주광역시,126,61,65,5,5,25,10,6,4,3,3,0,0,0,2,2,37,6,9,3,4,2,0,0,0
202301,부산광역시,대전광역시,147,84,63,2,5,40,15,8,8,3,2,1,0,0,5,3,28,8,7,8,3,1,0,0,0
202301,부산광역시,울산광역시,857,457,400,25,33,195,85,48,47,13,8,3,0,0,18,39,172,55,42,26,19,11,12,6,0
202301,부산광역시,세종특별자치시,76,42,34,6,5,11,8,8,3,1,0,0,0,0,2,2,10,10,5,1,2,1,1,0,0
202301,부산광역시,경기도,1064,592,472,35,57,197,116,98,46,28,11,4,0,0,38,54,135,71,74,36,36,19,8,1,0
202301,부산광역시,강원도,154,80,74,5,7,29,10,13,7,7,1,1,0,0,2,13,28,9,9,5,5,2,1,0,0
202301,부산광역시,충청북도,133,67,66,4,7,19,15,11,5,5,1,0,0,0,3,6,25,11,9,6,2,2,2,0,0
202301,부산광역시,충청남도,228,138,90,13,15,41,30,24,9,4,1,1,0,0,10,8,20,14,17,8,6,3,3,1,0
202301,부산광역시,전라북도,129,67,62,2,6,24,11,6,8,6,4,0,0,0,1,4,22,3,10,12,6,3,1,0,0
202301,부산광역시,전라남도,252,131,121,8,7,45,20,21,20,4,5,1,0,0,7,10,54,9,16,8,7,4,5,1,0
202301,부산광역시,경상북도,843,449,394,26,43,182,92,31,38,29,4,4,0,0,24,29,159,63,40,28,29,11,6,5,0
202301,부산광역시,경상남도,3776,1853,1923,98,145,645,346,243,164,146,43,20,3,0,115,157,751,299,218,151,131,50,37,14,0
202301,부산광역시,제주특별자치도,293,135,158,7,24,35,19,25,10,11,4,0,0,0,12,16,37,18,34,20,14,3,3,1,0
202301,대구광역시,서울특별시,850,445,405,27,34,173,88,43,51,18,7,4,0,0,13,29,165,77,46,42,19,8,5,1,0
202301,대구광역시,부산광역시,429,230,199,25,14,77,48,30,25,7,3,1,0,0,12,12,80,46,27,13,4,3,2,0,0
202301,대구광역시,대구광역시,14224,7121,7103,651,624,1396,1661,1158,853,511,199,62,6,0,596,558,1567,1423,1084,780,589,259,192,54,1
202301,대구광역시,인천광역시,134,79,55,2,9,31,19,9,7,1,1,0,0,0,5,2,17,16,7,4,2,0,2,0,0
